time,f1,f2,pitch
19.38,926.952551,3961.597585,172.796306
19.39,858.909084,3414.491561,173.167496
19.4,1193.847664,3262.415664,173.773083
19.42,1309.571453,3209.825519,172.940990
19.49,1194.741451,2576.878155,121.332340
19.5,1030.961057,2518.989555,123.128130
19.52,915.334196,2484.374874,138.771641
19.53,854.793199,2300.980591,148.207291
19.55,1220.977983,2930.566851,144.306025
19.58,1602.893136,2494.561686,119.511360
19.59,1577.321911,2905.019449,119.415327
19.6,1529.877573,2757.732342,118.881341
19.7,1540.665262,3824.466025,415.454516
19.72,1581.794836,3986.081347,415.233219
19.73,1566.218924,3543.696095,413.142380
19.74,1540.513295,3418.644769,412.420306
19.75,1499.737885,3379.532049,411.494406
19.77,1491.402893,3388.802266,410.312653
19.78,1567.550754,3345.190751,411.829827
19.79,1642.490886,3376.461767,416.175476
19.97,1658.103720,3298.911690,437.215645
19.98,1302.778798,3167.420272,436.146949
19.99,1227.554088,3107.665459,433.409316
20,1228.973511,3077.087970,431.408979
20.02,1178.152526,2978.466428,427.383707
20.03,1151.060784,2900.020267,430.767416
20.04,1061.525451,2968.935298,434.901908
20.05,1167.804590,3008.578391,434.300304
20.07,1360.897698,3183.567649,424.580710
20.08,1537.768157,3270.562397,418.158194
20.09,1453.779077,3218.927951,410.497017
20.1,1402.920505,3247.876032,404.594849
20.12,1455.845890,3570.654914,399.130977
20.13,1492.741749,2943.045209,397.222617
20.14,1521.125218,2012.796072,396.179346
20.15,1519.954894,2170.093606,395.369455
20.17,1506.148802,2875.364034,394.663756
20.18,1485.225836,3084.672709,393.124157
20.19,1384.314625,2965.598433,391.464401
20.2,1288.343590,2969.484818,392.072366
20.47,1301.036880,3789.733127,467.762578
20.48,1261.819629,3854.080403,465.096824
20.55,987.413069,3314.875123,81.255616
20.57,952.788866,3326.921605,81.251956
20.58,1037.662326,3393.074914,81.147564
20.59,1050.757445,3374.050900,135.010253
20.6,1054.115334,3340.192297,134.857872
20.62,982.763649,3216.640363,134.900614
20.63,954.196949,3206.438840,134.328425
20.64,997.705825,3222.767764,134.122085
20.65,1032.684954,3302.389041,133.632084
20.67,907.408684,3417.187252,132.137219
20.68,836.338932,3578.677004,131.612454
20.69,832.392598,3528.581604,131.360162
20.7,898.960082,3410.948235,131.018436
20.72,1104.984361,3306.208835,130.876494
20.84,983.142733,3712.745578,393.543647
20.85,1139.032471,3410.129845,396.472099
20.87,1250.682266,3330.229595,399.489274
20.88,1291.055654,3426.585646,396.570372
20.89,1299.822575,3050.592503,381.638737
21.19,403.571468,2941.146913,122.186421
21.2,513.844404,2800.607201,131.739011
21.22,567.445027,2721.562542,119.904676
21.23,576.756317,2680.537481,117.919496
21.24,612.370801,2674.905713,117.846562
21.25,636.145162,2778.785554,117.646109
21.27,687.893339,2913.793602,116.567281
21.28,818.355836,2723.416811,114.744483
21.29,684.891797,2625.209843,114.671406
21.34,948.574858,3053.764745,174.774997
21.37,1098.256692,3209.493529,175.843485
21.38,1273.281433,2978.680771,176.627965
21.39,1335.958211,2745.597071,174.718904
21.4,1238.118085,2801.692438,173.362231
21.42,1351.621039,2759.162700,173.105319
21.43,1543.868029,2817.002737,176.753726
21.44,1557.927208,2861.391464,179.654241
21.45,1538.713417,3065.615205,183.723384
21.47,1548.707435,3482.427958,193.123740
21.48,1499.946854,3520.692433,197.678065
21.49,1454.249587,3574.571386,200.388689
21.5,1431.398162,3477.785001,201.293385
21.52,1457.528331,3806.331632,191.829907
21.53,1003.096129,2353.490132,192.315774
21.72,1217.542642,3457.337696,391.204511
21.79,1503.719043,3454.335740,392.625761
21.8,1529.395101,3135.230248,394.883685
21.82,1510.738439,2881.339743,390.411005
21.83,1636.152609,2648.130727,386.700410
21.84,1110.577271,3012.982195,382.759810
21.85,1158.287090,2428.664496,390.025547
21.9,2103.783900,2364.249368,384.610197
21.92,1883.810727,3023.110979,393.758772
21.93,1576.631612,2977.214617,395.033829
21.94,1437.877981,3087.368016,387.848966
21.95,1431.662177,2813.353351,129.033809
22,132.546394,2382.250413,127.872903
22.02,227.532388,2448.895886,132.079938
22.03,1091.912018,2392.211969,134.150569
22.04,1240.196616,2444.733357,135.501567
22.05,1227.399613,2256.098287,136.621538
22.07,1271.604275,2471.646231,209.748734
22.08,1275.189922,2650.721810,209.488291
22.09,1270.799103,2843.386478,210.650260
22.1,1252.192772,3187.263755,209.096584
22.12,1235.760771,3575.320063,133.926184
22.13,1261.447676,3799.286266,131.076371
22.15,1360.744240,3337.098878,140.267798
22.17,1284.616791,2933.941460,138.224769
22.18,1273.034267,2737.051092,76.568687
22.19,1306.306324,2739.371123,77.313792
22.2,1303.393214,2759.558103,77.644769
22.22,1239.337645,2780.387629,77.399000
22.23,862.001103,2586.098438,191.314433
22.27,315.293043,2984.215528,155.490295
22.28,330.035429,2992.017890,159.680086
22.32,1249.132963,3021.834145,174.351023
22.33,1272.218602,3154.558684,174.333343
22.34,1110.559873,3493.622433,178.589294
22.35,973.418826,2914.826962,178.313113
22.37,987.502986,2560.775960,174.798181
22.38,988.855224,2442.523255,171.183045
22.45,1001.635966,2955.793713,116.775869
22.47,1021.317716,3142.670921,116.240312
22.48,1025.541978,2987.720081,115.937182
22.49,1028.443090,3062.231596,115.977310
22.5,1024.801557,3196.944668,116.156635
22.52,1018.960041,3221.690805,175.195566
22.53,972.504145,3196.059034,176.077672
22.54,779.113941,3188.057450,176.255477
22.55,761.384475,3129.544888,176.170259
22.57,741.701616,3020.282137,178.243152
22.58,546.747776,3175.260422,364.287110
22.59,494.848426,3683.853596,370.944829
22.6,504.895878,3733.954702,376.359290
22.62,486.738966,3692.359664,381.866513
22.63,469.943422,3691.343689,382.403483
22.64,496.493051,3678.762180,380.819101
22.65,538.141086,3535.264709,375.350113
22.67,530.311571,3326.281869,354.742842
22.68,564.648715,3334.226885,347.467728
22.69,373.668417,3276.169895,346.341008
22.89,455.336999,3625.147957,178.295494
22.9,517.152449,3357.831890,181.665671
23.02,480.071358,3466.837477,179.697660
23.03,488.832809,3610.943830,178.525879
23.04,486.530671,3525.687056,178.901931
23.05,492.434989,3508.021546,179.599712
23.07,520.451283,3423.854430,183.304185
23.08,523.721365,3383.559987,186.004119
23.12,477.966411,3746.436072,198.620072
23.13,473.367135,3773.931318,198.861068
23.14,491.156053,3670.766499,196.490502
23.15,631.660408,3546.898512,191.693264
23.27,568.305550,2947.496820,156.837055
23.28,586.375356,2910.501151,164.029973
23.39,275.174752,2810.340876,164.673324
23.4,416.991541,2781.722606,163.801004
23.42,466.640959,2833.635659,166.964948
23.43,496.536278,2737.321495,158.511531
23.44,544.684950,2596.293499,162.188057
23.45,603.104839,2743.320643,158.825691
23.47,754.739758,2925.275435,165.358537
23.48,840.893285,2951.526242,162.105022
23.49,959.742193,2917.972040,144.196987
23.5,1071.309693,2744.209374,144.251279
23.52,1792.253286,2812.046353,154.877627
23.53,1874.499490,3015.993043,176.559451
23.54,1736.695914,3029.435791,177.160083
23.55,1248.999193,3122.005228,177.413984
23.57,1123.572041,3150.816776,177.000279
23.58,1021.229416,3055.397742,175.944453
23.59,908.895912,2972.640875,176.428939
23.6,698.445572,2857.196781,176.272292
23.62,657.028886,2855.298172,175.942266
23.63,928.815675,2931.543457,176.372684
23.64,1159.951720,2780.098956,176.361258
23.65,1812.821230,2912.730268,176.286754
23.69,1183.855280,3200.334033,87.301233
23.73,861.271062,3123.310100,86.669103
23.83,1058.371567,3301.266234,79.718043
23.84,1491.134013,3300.154702,80.670523
24.07,1138.757330,3724.695256,384.135294
24.08,1063.888538,4458.566439,387.193537
24.09,997.041522,3888.470439,385.759096
24.19,1551.787341,3342.467665,417.654292
24.2,1540.594598,3014.122613,428.301344
24.23,1633.010650,2942.894830,443.636856
24.24,1565.355180,2897.367922,443.220743
24.25,1532.642899,2847.106365,440.367581
24.27,1605.532217,2876.816022,427.862824
24.28,1538.097384,2880.793924,421.217885
24.35,1122.242035,2162.173692,85.775867
24.37,1256.039666,2145.764513,427.659094
24.38,1440.080708,2805.080925,423.118897
24.39,1346.299271,2863.637735,422.227367
24.4,1393.278048,3154.840676,426.545577
24.42,1400.368967,3494.929967,431.849397
24.43,1357.774551,3442.177681,427.820705
24.49,736.740905,3564.647234,174.249785
24.52,800.087518,3997.812646,172.548658
24.57,1396.250188,3743.742475,198.921425
24.58,1303.320027,3664.907009,198.905027
24.59,1074.907801,3766.171392,197.999532
24.78,1322.824253,1855.427245,412.790604
24.8,1269.493011,2016.773058,452.401466
24.82,1003.077524,2659.919687,445.934270
24.83,532.028222,2427.490858,440.492903
24.84,652.324272,2417.505612,432.814466
24.85,1235.518823,2693.383779,423.450716
24.87,754.580379,2681.320567,406.281965
24.97,1496.851771,3209.293468,78.795572
25.05,1519.891467,3093.892860,131.296824
25.07,1546.987103,3129.613336,131.185952
25.08,1534.489647,3200.128424,130.812223
25.09,1513.392741,3451.672570,130.377217
25.1,1404.452195,3877.240616,130.067854
25.12,1208.575232,3825.669292,129.858870
25.13,1098.841270,3629.705284,129.949157
25.14,1109.928310,3378.218748,130.064425
25.15,1136.213615,3309.383119,130.222572
25.17,1108.473848,3239.825879,130.464036
25.18,1088.306319,3215.489397,130.473823
25.19,1059.165311,3282.803919,130.446187
25.2,1053.912744,3267.705389,130.953864
25.22,1319.121629,4032.495202,396.955080
25.24,1374.246232,3366.938089,401.880320
25.25,1258.805625,2903.014668,398.886988
25.35,782.762344,1881.373113,125.155145
25.37,1860.224833,2032.385561,130.949925
25.38,1740.058243,2370.461968,134.800436
25.39,1706.524854,2311.255756,111.724059
25.4,1494.422146,2222.842369,112.852641
25.42,1311.664681,1963.525854,125.996402
25.47,626.188216,2829.542366,127.706794
25.48,721.050868,2876.255317,127.881112
25.49,725.130704,2857.314312,127.835196
25.5,811.739136,2430.710845,120.236934
25.62,717.672791,3434.738899,117.406131
25.69,895.951509,2617.093449,119.278180
25.73,1550.528745,2774.591492,138.703187
